Gene	"epidermal_layer"	staining_intensity	staining_frequency_intense_cells	distribution	detected_in_RAID	RNA_seq	HPA_data	Subcellular_location	
CDC20	5	0	0	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000117399-CDC20/tissue/skin

CDC20	6	0	0	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000117399-CDC20/tissue/skin

CDC20	7	0	0	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000117399-CDC20/tissue/skin

CDC20	8	0	0	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000117399-CDC20/tissue/skin

RRM2	1	1	0.1	random_linked	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171848-RRM2/tissue/skin

RRM2	2	1	0.1	random_linked	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171848-RRM2/tissue/skin

RRM2	3	0	0	random_linked	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171848-RRM2/tissue/skin

RRM2	4	0	0	random_linked	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171848-RRM2/tissue/skin

RRM2	5	0	0	random_linked	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171848-RRM2/tissue/skin

RRM2	6	0	0	random_linked	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171848-RRM2/tissue/skin

RRM2	7	0	0	random_linked	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171848-RRM2/tissue/skin

RRM2	8	0	0	random_linked	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171848-RRM2/tissue/skin

YBX1	1	1	1	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065978-YBX1/tissue/skin

YBX1	2	0.5	1	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065978-YBX1/tissue/skin

YBX1	3	0.25	1	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065978-YBX1/tissue/skin

YBX1	4	0	0	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065978-YBX1/tissue/skin

YBX1	5	0	0	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065978-YBX1/tissue/skin

YBX1	6	0	0	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065978-YBX1/tissue/skin

YBX1	7	0	0	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065978-YBX1/tissue/skin

YBX1	8	0	0	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065978-YBX1/tissue/skin

GAPDH	1	1	0.8	random	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000111640-GAPDH/tissue/skin

GAPDH	2	0.5	0.8	random	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000111640-GAPDH/tissue/skin

GAPDH	3	0.25	0.8	random	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000111640-GAPDH/tissue/skin

GAPDH	4	0	0	random	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000111640-GAPDH/tissue/skin

GAPDH	5	0	0	random	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000111640-GAPDH/tissue/skin

GAPDH	6	0	0	random	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000111640-GAPDH/tissue/skin

GAPDH	7	0	0	random	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000111640-GAPDH/tissue/skin

GAPDH	8	0	0	random	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000111640-GAPDH/tissue/skin

FXYD3	1	1	1	random	1	down	1	cell_membrane	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

FXYD3	2	0.5	1	random	1	down	1	cell_membrane	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

FXYD3	3	0.25	1	random	1	down	1	cell_membrane	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

FXYD3	4	0.1	0	random	1	down	1	cell_membrane	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

FXYD3	5	0	0	random	1	down	1	cell_membrane	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

FXYD3	6	0	0	random	1	down	1	cell_membrane	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

FXYD3	7	0	0	random	1	down	1	cell_membrane	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

FXYD3	8	0	0	random	1	down	1	cell_membrane	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

PTTG1	1	1	0.15	random_linked	1	stable	1	cytoplasm	https://www.proteinatlas.org/ENSG00000164611-PTTG1/tissue/skin

PTTG1	2	0.25	0.05	random_linked	1	stable	1	cytoplasm	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

PTTG1	3	0	0	random_linked	1	stable	1	cytoplasm	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

PTTG1	4	0	0	random_linked	1	stable	1	cytoplasm	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

PTTG1	5	0	0	random_linked	1	stable	1	cytoplasm	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

PTTG1	6	0	0	random_linked	1	stable	1	cytoplasm	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

PTTG1	7	0	0	random_linked	1	stable	1	cytoplasm	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

PTTG1	8	0	0	random_linked	1	stable	1	cytoplasm	https://www.proteinatlas.org/ENSG00000089356-FXYD3/tissue/skin

AREG	1	1	1	uniform	1	transient down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000109321-AREG/tissue/skin

AREG	2	0	0	uniform	1	transient down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000109321-AREG/tissue/skin

AREG	3	0	0	uniform	1	transient down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000109321-AREG/tissue/skin

AREG	4	0	0	uniform	1	transient down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000109321-AREG/tissue/skin

AREG	5	0	0	uniform	1	transient down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000109321-AREG/tissue/skin

AREG	6	0	0	uniform	1	transient down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000109321-AREG/tissue/skin

AREG	7	0	0	uniform	1	transient down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000109321-AREG/tissue/skin

AREG	8	0	0	uniform	1	transient down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000109321-AREG/tissue/skin

KLF4	1	0.1	1	uniform	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000136826-KLF4/tissue/skin

KLF4	2	0.1	1	uniform	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000136826-KLF4/tissue/skin

KLF4	3	0.2	1	uniform	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000136826-KLF4/tissue/skin

KLF4	4	0.3	1	uniform	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000136826-KLF4/tissue/skin

KLF4	5	0.5	1	uniform	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000136826-KLF4/tissue/skin

KLF4	6	0.8	1	uniform	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000136826-KLF4/tissue/skin

KLF4	7	1	1	uniform	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000136826-KLF4/tissue/skin

KLF4	8	1	1	uniform	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000136826-KLF4/tissue/skin

JUP	1	0.2	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000173801-JUP/tissue/skin

JUP	2	0.3	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000173801-JUP/tissue/skin

JUP	3	0.4	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000173801-JUP/tissue/skin

JUP	4	0.6	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000173801-JUP/tissue/skin

JUP	5	0.7	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000173801-JUP/tissue/skin

JUP	6	0.8	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000173801-JUP/tissue/skin

JUP	7	1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000173801-JUP/tissue/skin

JUP	8	1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000173801-JUP/tissue/skin

HSPB1	1	0.05	1	uniform	1	up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000106211-HSPB1/tissue/skin

HSPB1	2	0.1	1	uniform	1	up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000106211-HSPB1/tissue/skin

HSPB1	3	0.3	1	uniform	1	up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000106211-HSPB1/tissue/skin

HSPB1	4	0.5	1	uniform	1	up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000106211-HSPB1/tissue/skin

HSPB1	5	0.8	1	uniform	1	up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000106211-HSPB1/tissue/skin

HSPB1	6	1	1	uniform	1	up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000106211-HSPB1/tissue/skin

HSPB1	7	1	1	uniform	1	up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000106211-HSPB1/tissue/skin

HSPB1	8	1	1	uniform	1	up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000106211-HSPB1/tissue/skin

DSP	1	0	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000096696-DSP/tissue/skin

DSP	2	0.25	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000096696-DSP/tissue/skin

DSP	3	0.5	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000096696-DSP/tissue/skin

DSP	4	0.6	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000096696-DSP/tissue/skin

DSP	5	0.8	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000096696-DSP/tissue/skin

DSP	6	1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000096696-DSP/tissue/skin

DSP	7	1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000096696-DSP/tissue/skin

DSP	8	1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000096696-DSP/tissue/skin

PPL	1	0	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000118898-PPL/tissue/skin

PPL	2	0	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000118898-PPL/tissue/skin

PPL	3	0.1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000118898-PPL/tissue/skin

PPL	4	0.25	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000118898-PPL/tissue/skin

PPL	5	0.5	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000118898-PPL/tissue/skin

PPL	6	1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000118898-PPL/tissue/skin

PPL	7	1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000118898-PPL/tissue/skin

PPL	8	1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000118898-PPL/tissue/skin

EVPL	1	0	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000167880-EVPL/tissue/skin

EVPL	2	0	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000167880-EVPL/tissue/skin

EVPL	3	0.1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000167880-EVPL/tissue/skin

EVPL	4	0.25	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000167880-EVPL/tissue/skin

EVPL	5	0.5	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000167880-EVPL/tissue/skin

EVPL	6	1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000167880-EVPL/tissue/skin

EVPL	7	1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000167880-EVPL/tissue/skin

EVPL	8	1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000167880-EVPL/tissue/skin

DMKN	1	0	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000161249-DMKN/tissue/skin

DMKN	2	0	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000161249-DMKN/tissue/skin

DMKN	3	0.1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000161249-DMKN/tissue/skin

DMKN	4	0.25	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000161249-DMKN/tissue/skin

DMKN	5	0.5	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000161249-DMKN/tissue/skin

DMKN	6	1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000161249-DMKN/tissue/skin

DMKN	7	1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000161249-DMKN/tissue/skin

DMKN	8	1	1	uniform	1	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000161249-DMKN/tissue/skin

NOTCH1	1	0	1	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000148400-NOTCH1/tissue/skin

NOTCH1	2	1	0.33	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000148400-NOTCH1/tissue/skin

NOTCH1	3	1	0.25	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000148400-NOTCH1/tissue/skin

NOTCH1	4	0.5	0.2	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000148400-NOTCH1/tissue/skin

NOTCH1	5	0	1	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000148400-NOTCH1/tissue/skin

NOTCH1	6	0	1	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000148400-NOTCH1/tissue/skin

NOTCH1	7	0	1	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000148400-NOTCH1/tissue/skin

NOTCH1	8	0	1	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000148400-NOTCH1/tissue/skin

NOTCH3	1	0	1	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000074181-NOTCH3/tissue/skin

NOTCH3	2	1	0.33	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000074181-NOTCH3/tissue/skin

NOTCH3	3	1	0.25	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000074181-NOTCH3/tissue/skin

NOTCH3	4	0.5	0.2	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000074181-NOTCH3/tissue/skin

NOTCH3	5	0	1	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000074181-NOTCH3/tissue/skin

NOTCH3	6	0	1	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000074181-NOTCH3/tissue/skin

NOTCH3	7	0	1	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000074181-NOTCH3/tissue/skin

NOTCH3	8	0	1	random	1	up	1	nucleus	https://www.proteinatlas.org/ENSG00000074181-NOTCH3/tissue/skin

SPINK5	1	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000133710-SPINK5/tissue/skin

SPINK5	2	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000133710-SPINK5/tissue/skin

SPINK5	3	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000133710-SPINK5/tissue/skin

SPINK5	4	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000133710-SPINK5/tissue/skin

SPINK5	5	0.4	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000133710-SPINK5/tissue/skin

SPINK5	6	0.8	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000133710-SPINK5/tissue/skin

SPINK5	7	1	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000133710-SPINK5/tissue/skin

SPINK5	8	1	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000133710-SPINK5/tissue/skin

CALML5	1	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000178372-CALML5/tissue/skin

CALML5	2	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000178372-CALML5/tissue/skin

CALML5	3	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000178372-CALML5/tissue/skin

CALML5	4	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000178372-CALML5/tissue/skin

CALML5	5	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000178372-CALML5/tissue/skin

CALML5	6	0.6	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000178372-CALML5/tissue/skin

CALML5	7	1	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000178372-CALML5/tissue/skin

CALML5	8	1	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000178372-CALML5/tissue/skin

IVL	1	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000163207-IVL/tissue/skin

IVL	2	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000163207-IVL/tissue/skin

IVL	3	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000163207-IVL/tissue/skin

IVL	4	0.1	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000163207-IVL/tissue/skin

IVL	5	0.3	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000163207-IVL/tissue/skin

IVL	6	0.6	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000163207-IVL/tissue/skin

IVL	7	1	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000163207-IVL/tissue/skin

IVL	8	1	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000163207-IVL/tissue/skin

TGM1	1	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000092295-TGM1/tissue/skin

TGM1	2	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000092295-TGM1/tissue/skin

TGM1	3	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000092295-TGM1/tissue/skin

TGM1	4	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000092295-TGM1/tissue/skin

TGM1	5	0	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000092295-TGM1/tissue/skin

TGM1	6	0.8	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000092295-TGM1/tissue/skin

TGM1	7	1	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000092295-TGM1/tissue/skin

TGM1	8	1	1	uniform	0	up	1	cell_membrane	https://www.proteinatlas.org/ENSG00000092295-TGM1/tissue/skin
